init_time,test_name
0.076598,rust-spin-n-body
0.084905,rust-spin-n-body
0.055936,rust-spin-n-body
0.078767,rust-spin-n-body
0.069242,rust-spin-n-body
0.088904,rust-spin-n-body
0.087403,rust-spin-n-body
0.093468,rust-spin-n-body
0.052817,rust-spin-n-body
0.056606,rust-spin-n-body
0.051842,rust-spin-n-body
0.067664,rust-spin-n-body
0.074461,rust-spin-n-body
0.087050,rust-spin-n-body
0.087156,rust-spin-n-body
0.088358,rust-spin-n-body
0.083393,rust-spin-n-body
0.051929,rust-spin-n-body
0.070780,rust-spin-n-body
0.056330,rust-spin-n-body
0.071813,rust-spin-n-body
0.058736,rust-spin-n-body
0.052593,rust-spin-n-body
0.085385,rust-spin-n-body
0.058527,rust-spin-n-body
0.086192,rust-spin-n-body
0.074278,rust-spin-n-body
0.092158,rust-spin-n-body
0.083585,rust-spin-n-body
0.067321,rust-spin-n-body
0.050068,rust-spin-n-body
0.082697,rust-spin-n-body
0.055560,rust-spin-n-body
0.081576,rust-spin-n-body
0.054647,rust-spin-n-body
0.101786,rust-spin-n-body
0.079558,rust-spin-n-body
0.061356,rust-spin-n-body
0.055255,rust-spin-n-body
0.070413,rust-spin-n-body
0.086139,rust-spin-n-body
0.090108,rust-spin-n-body
0.088205,rust-spin-n-body
0.111200,rust-spin-n-body
0.078796,rust-spin-n-body
0.052516,rust-spin-n-body
0.083244,rust-spin-n-body
0.073759,rust-spin-n-body
0.083255,rust-spin-n-body
0.072310,rust-spin-n-body
0.087896,rust-spin-n-body
0.081743,rust-spin-n-body
0.056329,rust-spin-n-body
0.062674,rust-spin-n-body
0.058783,rust-spin-n-body
0.074592,rust-spin-n-body
0.050183,rust-spin-n-body
0.073007,rust-spin-n-body
0.174109,rust-spin-n-body
0.077023,rust-spin-n-body
0.074829,rust-spin-n-body
0.094115,rust-spin-n-body
0.068412,rust-spin-n-body
0.080291,rust-spin-n-body
0.053130,rust-spin-n-body
0.054352,rust-spin-n-body
0.070890,rust-spin-n-body
0.089716,rust-spin-n-body
0.075049,rust-spin-n-body
0.103196,rust-spin-n-body
0.083982,rust-spin-n-body
0.081535,rust-spin-n-body
0.079491,rust-spin-n-body
0.056675,rust-spin-n-body
